id,title,context,question,answers,Category
56d5cba21c85041400946dde,Dog,"In 2013, a study found that mixed breeds live on average 1.2 years longer than pure breeds, and that increasing body-weight was negatively correlated with longevity (i.e. the heavier the dog the shorter its lifespan).","Mutts, dogs that have several breed characteristics, live how much longer than purebred dogs?","{'text': array(['1.2 years'], dtype=object), 'answer_start': array([57], dtype=int32)}",1K
5a4d7b69755ab9001a10f3ff,Web_browser,"Early web browsers supported only a very simple version of HTML. The rapid development of proprietary web browsers led to the development of non-standard dialects of HTML, leading to problems with interoperability. Modern web browsers support a combination of standards-based and de facto HTML and XHTML, which should be rendered in the same way by all browsers.",What are two things that a simple HTML version supports?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",0
5ad0d00c645df0001a2d0499,Premier_League,"The team placed fifth in the Premier League automatically qualifies for the UEFA Europa League, and the sixth and seventh-placed teams can also qualify, depending on the winners of the two domestic cup competitions i.e. the FA Cup and the Capital One Cup (League Cup). Two Europa League places are reserved for the winners of each tournament; if the winner of either the FA Cup or League Cup qualifies for the Champions League, then that place will go to the next-best placed finisher in the Premier League. A further place in the UEFA Europa League is also available via the Fair Play initiative. If the Premier League has one of the three highest Fair Play rankings in Europe, the highest ranked team in the Premier League Fair Play standings which has not already qualified for Europe will automatically qualify for the UEFA Europa League first qualifying round.",Thre Europa League places are reserved for the winners of what? ,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",0
5725df1689a1e219009ac001,Arsenal_F.C.,"Arsenal reached the final of the 2007 and 2011 League Cups, losing 2–1 to Chelsea and Birmingham City respectively. The club had not gained a major trophy since the 2005 FA Cup until 17 May 2014, when Arsenal beat Hull City in the 2014 FA Cup Final, coming back from a 2–0 deficit to win the match 3–2. This qualified them for the 2014 FA Community Shield where they would play Premier League champions Manchester City. They recorded a resounding 3–0 win in the game, winning their second trophy in three months. Nine months after their Community Shield triumph, Arsenal appeared in the FA Cup final for the second year in a row, thrashing Aston Villa 4–0 in the final and becoming the most successful club in the tournament's history with 12 titles. On 2 August 2015, Arsenal beat Chelsea 1–0 at Wembley Stadium to retain the Community Shield and earn their 14th Community Shield title.",What team did Arsenal defeat at Wembley in 2015?,"{'text': array(['Chelsea'], dtype=object), 'answer_start': array([782], dtype=int32)}",1K
5a7e41ae70df9f001a875653,Virgil,"Sometime after the publication of the Eclogues (probably before 37 BC), Virgil became part of the circle of Maecenas, Octavian's capable agent d'affaires who sought to counter sympathy for Antony among the leading families by rallying Roman literary figures to Octavian's side. Virgil came to know many of the other leading literary figures of the time, including Horace, in whose poetry he is often mentioned, and Varius Rufus, who later helped finish the Aeneid.",Who invited Virgil to become part of the circle of Maecenas?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",0
5709a704ed30961900e843ca,Race_and_ethnicity_in_the_United_States_Census,"In 1997, OMB issued a Federal Register notice regarding revisions to the standards for the classification of federal data on race and ethnicity. OMB developed race and ethnic standards in order to provide ""consistent data on race and ethnicity throughout the Federal Government. The development of the data standards stem in large measure from new responsibilities to enforce civil rights laws."" Among the changes, OMB issued the instruction to ""mark one or more races"" after noting evidence of increasing numbers of interracial children and wanting to capture the diversity in a measurable way and having received requests by people who wanted to be able to acknowledge their or their children's full ancestry rather than identifying with only one group. Prior to this decision, the Census and other government data collections asked people to report only one race.",How many races were people asked to report in the US census prior to 1997?,"{'text': array(['one'], dtype=object), 'answer_start': array([857], dtype=int32)}",1K
5aceb60032bba1001ae4b11c,Athanasius_of_Alexandria,"Athanasius knew Greek and admitted not knowing Hebrew [see, e.g., the 39th Festal Letter of St. Athan.]. The Old Testament passages he quotes frequently come from the Septuagint Greek translation. Only rarely did he use other Greek versions (to Aquila once in the Ecthesis, to other versions once or twice on the Psalms), and his knowledge of the Old Testament was limited to the Septuagint. Nonetheless, during his later exile, with no access to a copy of the Scriptures, Athanasius could quote from memory every verse in the Old Testament with a supposed reference to the Trinity without missing any.[citation needed] The combination of Scriptural study and of Greek learning was characteristic of the famous Alexandrian School.",What was not a characteristic of the school?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",0
57335b42d058e614000b58e3,Financial_crisis_of_2007%E2%80%9308,"Rapid increases in a number of commodity prices followed the collapse in the housing bubble. The price of oil nearly tripled from $50 to $147 from early 2007 to 2008, before plunging as the financial crisis began to take hold in late 2008. Experts debate the causes, with some attributing it to speculative flow of money from housing and other investments into commodities, some to monetary policy, and some to the increasing feeling of raw materials scarcity in a fast-growing world, leading to long positions taken on those markets, such as Chinese increasing presence in Africa. An increase in oil prices tends to divert a larger share of consumer spending into gasoline, which creates downward pressure on economic growth in oil importing countries, as wealth flows to oil-producing states. A pattern of spiking instability in the price of oil over the decade leading up to the price high of 2008 has been recently identified. The destabilizing effects of this price variance has been proposed as a contributory factor in the financial crisis.",What did the price of oil began doing when the financial crisis began to take hold in late 2008?,"{'text': array(['plunging'], dtype=object), 'answer_start': array([174], dtype=int32)}",1K
570dec460dc6ce1900204d0e,Antarctica,"Aristotle wrote in his book Meteorology about an Antarctic region in c. 350 B.C. Marinus of Tyre reportedly used the name in his unpreserved world map from the 2nd century A.D. The Roman authors Hyginus and Apuleius (1–2 centuries A.D.) used for the South Pole the romanized Greek name polus antarcticus, from which derived the Old French pole antartike (modern pôle antarctique) attested in 1270, and from there the Middle English pol antartik in a 1391 technical treatise by Geoffrey Chaucer (modern Antarctic Pole).",What did Chaucer call the area in 1391?,"{'text': array(['pol antartik'], dtype=object), 'answer_start': array([432], dtype=int32)}",1K
56fa7b568f12f31900630154,High-definition_television,"The first regular broadcasts started on January 1, 2004 when the Belgian company Euro1080 launched the HD1 channel with the traditional Vienna New Year's Concert. Test transmissions had been active since the IBC exhibition in September 2003, but the New Year's Day broadcast marked the official launch of the HD1 channel, and the official start of direct-to-home HDTV in Europe.",When did test transmissions of HDTV begin in Europe?,"{'text': array(['September 2003'], dtype=object), 'answer_start': array([226], dtype=int32)}",1K
