id,title,context,question,answers,Category
56f7e340aef2371900625c45,Szlachta,"Concerning the early Polish tribes, geography contributed to long-standing traditions. The Polish tribes were internalized and organized around a unifying religious cult, governed by the wiec, an assembly of free tribesmen. Later, when safety required power to be consolidated, an elected prince was chosen to govern. The election privilege was usually limited to elites.",When power needed to be consolidated what was chosen to govern?,"{'text': array(['an elected prince'], dtype=object), 'answer_start': array([278], dtype=int32)}",1A
5732a702328d981900601fdf,Geological_history_of_Earth,"During the Eocene (56 million years ago - 33.9 million years ago), the continents continued to drift toward their present positions. At the beginning of the period, Australia and Antarctica remained connected, and warm equatorial currents mixed with colder Antarctic waters, distributing the heat around the world and keeping global temperatures high. But when Australia split from the southern continent around 45 Ma, the warm equatorial currents were deflected away from Antarctica, and an isolated cold water channel developed between the two continents. The Antarctic region cooled down, and the ocean surrounding Antarctica began to freeze, sending cold water and ice floes north, reinforcing the cooling. The present pattern of ice ages began about 40 million years ago.[citation needed]",During what years did the Eocene period take place?,"{'text': array(['56 million years ago - 33.9 million years ago'], dtype=object), 'answer_start': array([19], dtype=int32)}",1A
5728eae64b864d190016508f,Samurai,"By the end of the 12th century, samurai became almost entirely synonymous with bushi, and the word was closely associated with the middle and upper echelons of the warrior class. The samurai were usually associated with a clan and their lord, were trained as officers in military tactics and grand strategy, and they followed a set of rules that later came to be known as the bushidō. While the samurai numbered less than 10% of then Japan's population, their teachings can still be found today in both everyday life and in modern Japanese martial arts.",Where do samurais' teachings live on?,"{'text': array(['everyday life and in modern Japanese martial arts'], dtype=object), 'answer_start': array([503], dtype=int32)}",1A
56f6f4963d8e2e1400e372eb,Slavs,"Present-day Slavic people are classified into West Slavic (chiefly Poles, Czechs and Slovaks), East Slavic (chiefly Russians, Belarusians, and Ukrainians), and South Slavic (chiefly Serbs, Bulgarians, Croats, Bosniaks, Macedonians, Slovenes, and Montenegrins), though sometimes the West Slavs and East Slavs are combined into a single group known as North Slavs. For a more comprehensive list, see the ethnocultural subdivisions. Modern Slavic nations and ethnic groups are considerably diverse both genetically and culturally, and relations between them – even within the individual ethnic groups themselves – are varied, ranging from a sense of connection to mutual feelings of hostility.",East Slavic people consist of which nationalities?,"{'text': array(['Russians, Belarusians, and Ukrainians'], dtype=object), 'answer_start': array([116], dtype=int32)}",1A
57296fe53f37b319004783ae,"New_Haven,_Connecticut","New Haven lies in the transition between a humid continental climate (Köppen climate classification: Dfa) and humid subtropical climate (Köppen Cfa), but having more characteristics of the former, as is typical of much of the New York metropolitan area. Summers are humid and warm, with temperatures exceeding 90 °F (32 °C) on 7–8 days per year. Winters are cold with moderate snowfall interspersed with rainfall and occasionally mixed precipitation. The weather patterns that affect New Haven result from a primarily offshore direction, thus reducing the marine influence of Long Island Sound—although, like other marine areas, differences in temperature between areas right along the coastline and areas a mile or two inland can be large at times.",Does summertime gets weather hotter than 90 degrees?,"{'text': array(['7–8 days per year'], dtype=object), 'answer_start': array([327], dtype=int32)}",1A
56d460ca2ccc5a1400d83107,Kanye_West,"808s & Heartbreak, which features extensive use of the eponymous Roland TR-808 drum machine and contains themes of love, loneliness, and heartache, was released by Island Def Jam to capitalize on Thanksgiving weekend in November 2008. Reviews were positive, though slightly more mixed than his previous efforts. Despite this, the record's singles demonstrated outstanding chart performances. Upon its release, the lead single ""Love Lockdown"" debuted at number three on the Billboard Hot 100 and became a ""Hot Shot Debut"", while follow-up single ""Heartless"" performed similarly and became his second consecutive ""Hot Shot Debut"" by debuting at number four on the Billboard Hot 100. While it was criticized prior to release, 808s & Heartbreak had a significant effect on hip-hop music, encouraging other rappers to take more creative risks with their productions.",The major usage of musical machine on 808s was described as eponymous?,"{'text': array(['Roland TR-808 drum machine'], dtype=object), 'answer_start': array([65], dtype=int32)}",1A
572a5b9e7a1753140016aecf,Ottoman_Empire,"Due to historically close ties with France, French literature came to constitute the major Western influence on Ottoman literature throughout the latter half of the 19th century. As a result, many of the same movements prevalent in France during this period also had their Ottoman equivalents: in the developing Ottoman prose tradition, for instance, the influence of Romanticism can be seen during the Tanzimat period, and that of the Realist and Naturalist movements in subsequent periods; in the poetic tradition, on the other hand, it was the influence of the Symbolist and Parnassian movements that became paramount.",During what time period was Ottoman literate most influenced by the west?,"{'text': array(['the latter half of the 19th century'], dtype=object), 'answer_start': array([142], dtype=int32)}",1A
5727423f708984140094db78,"New_Haven,_Connecticut","For over a century, New Haven citizens had fought in the colonial militia alongside regular British forces, as in the French and Indian War. As the American Revolution approached, General David Wooster and other influential residents hoped that the conflict with the government in Britain could be resolved short of rebellion. On 23 April 1775, which is still celebrated in New Haven as Powder House Day, the Second Company, Governor's Foot Guard, of New Haven entered the struggle against the governing British parliament. Under Captain Benedict Arnold, they broke into the powder house to arm themselves and began a three-day march to Cambridge, Massachusetts. Other New Haven militia members were on hand to escort George Washington from his overnight stay in New Haven on his way to Cambridge. Contemporary reports, from both sides, remark on the New Haven volunteers' professional military bearing, including uniforms.",Under whose leadership did the Governor's Foot Guard break into the powder house to arm themselves?,"{'text': array(['Captain Benedict Arnold'], dtype=object), 'answer_start': array([530], dtype=int32)}",1A
573346cc4776f419006607ee,Financial_crisis_of_2007%E2%80%9308,"Behavior that may be optimal for an individual (e.g., saving more during adverse economic conditions) can be detrimental if too many individuals pursue the same behavior, as ultimately one person's consumption is another person's income. Too many consumers attempting to save (or pay down debt) simultaneously is called the paradox of thrift and can cause or deepen a recession. Economist Hyman Minsky also described a ""paradox of deleveraging"" as financial institutions that have too much leverage (debt relative to equity) cannot all de-leverage simultaneously without significant declines in the value of their assets.",What will happen if too many consumers save or pay down debt simultaneously?,"{'text': array(['can cause or deepen a recession'], dtype=object), 'answer_start': array([346], dtype=int32)}",1A
570e31ca0dc6ce1900204e6d,Uranium,"The X-10 Graphite Reactor at Oak Ridge National Laboratory (ORNL) in Oak Ridge, Tennessee, formerly known as the Clinton Pile and X-10 Pile, was the world's second artificial nuclear reactor (after Enrico Fermi's Chicago Pile) and was the first reactor designed and built for continuous operation. Argonne National Laboratory's Experimental Breeder Reactor I, located at the Atomic Energy Commission's National Reactor Testing Station near Arco, Idaho, became the first nuclear reactor to create electricity on 20 December 1951. Initially, four 150-watt light bulbs were lit by the reactor, but improvements eventually enabled it to power the whole facility (later, the town of Arco became the first in the world to have all its electricity come from nuclear power generated by BORAX-III, another reactor designed and operated by Argonne National Laboratory). The world's first commercial scale nuclear power station, Obninsk in the Soviet Union, began generation with its reactor AM-1 on 27 June 1954. Other early nuclear power plants were Calder Hall in England, which began generation on 17 October 1956, and the Shippingport Atomic Power Station in Pennsylvania, which began on 26 May 1958. Nuclear power was used for the first time for propulsion by a submarine, the USS Nautilus, in 1954.",On what date did Breeder Reactor I first make electricity?,"{'text': array(['20 December 1951'], dtype=object), 'answer_start': array([511], dtype=int32)}",1A
